"id_Filme"	"Titulo"	"director"	"cast"	"country"	"data_lancamento"	"Classificacao_indicativa"	"Duracao_min"	"Sinopse"	"listed_in"
"539"	"Army of the Dead"	"Zack Snyder"	"Dave Bautista, Ella Purnell, Omari Hardwick, Garret Dillahunt, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Samantha Win, Richard Cetrone, Michael Cassidy"	"United States"	"2021"	"R"	"148 min"	"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever."	"Ação e Aventura, Horror"
"540"	"Creating an Army of the Dead"				"2021"	"TV-MA"	"29 min"	"Zack Snyder and his ""Army of the Dead"" team dive into the film's wild stunts, groundbreaking effects and the evolution of the zombie genre."	"Documentarios"
"541"	"Strain"	"Uduak-Obong Patrick"	"Okey Uzoeshi, Angel Unigwe, Nifemi Lawal, Alex Usifo, Gloria Anozie-Young, Shushu Abubakar, Aproko Doctor"		"2020"	"TV-MA"	"107 min"	"When his son is diagnosed with sickle cell disease, a man and his family struggle to face a new reality as they rediscover their shared love."	"Dramas, Filmes Internacionais"
"542"	"678"	"Mohamed Diab"	"Maged El-Kidwani, Bassem Samra, Ahmed El Fishawy, Nelly Kariem, Boshra, Nahed El Sebaï, Marwa Mehran, Sawsan Badr, Omar El Saeed, Moataz Al-Demerdash"		"2009"	"TV-14"	"99 min"	"This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it."	"Dramas, Filmes Independentes, Filmes Internacionais"
"543"	"Asmaa"	"Amr Salama"	"Hend Sabry, Maged El-Kidwani, Hany Adel, Sayed Rajab, Ahmed Kamal, Boutros Ghaly, Laila Ezz El Arab, Samia Asaad, Fatmah Adel, Mohamad Yones, Mohamed Abd El Azim"	"Egypt"	"2011"	"TV-14"	"92 min"	"Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events."	"Dramas, Filmes Internacionais"
"544"	"Hating Peter Tatchell"	"Christopher Amos"		"Australia"	"2020"	"TV-MA"	"91 min"	"This documentary follows gay rights activist Peter Tatchell from his early life to his fight for justice amid controversy and political turmoil."	"Documentarios, Filmes Internacionais, Filmes LGBTQ"
"545"	"Little Singham Future mein Satakli"	"Prakash Satam"	"Anamaya Verma, Ganesh Divekar, Jigna Bharadhwaj, Saumya Daan, Sonal Kaushal, Sumriddhi Shukla"		"2021"	"TV-Y7"	"47 min"	"Little Singham and his crew travel to the year 2050 to rescue kids from the evil rule of Junglee Joker, who has forbidden them from laughter or play!"	"Filmes familiares e infantis, Comedias"
"546"	"Spy Kids: All the Time in the World"	"Robert Rodriguez"	"Jessica Alba, Joel McHale, Rowan Blanchard, Mason Cook, Jeremy Piven, Alexa PenaVega, Daryl Sabara, Ricky Gervais, Danny Trejo"	"United States"	"2011"	"PG"	"88 min"	"Twins Rebecca and Cecil spring into action with their retired secret agent stepmother to stop a time-manipulating mastermind and his nefarious plans."	"Filmes familiares e infantis, Comedias"
"547"	"Taxi No. 9211"	"Milan Luthria"	"Nana Patekar, John Abraham, Sameera Reddy, Sonali Kulkarni, Shivaji Satham, Nassar Abdulla, Kurush Deboo, Smita Jaykar"		"2006"	"TV-14"	"116 min"	"When an arrogant scion hails his taxi, a cabbie in desperate need of money sees an opportunity that kicks off an intensely contentious 24-hour showdown."	"Dramas, Filmes Internacionais, Thrillers"
"548"	"Sabotage"	"David Ayer"	"Arnold Schwarzenegger, Sam Worthington, Olivia Williams, Terrence Howard, Joe Manganiello, Josh Holloway, Mireille Enos, Harold Perrineau, Martin Donovan, Max Martini, Mark Schlegel, Kevin Vance"	"United States"	"2014"	"R"	"109 min"	"A crack team of DEA agents plots a daring heist, making off with $10 million in drug money. They soon find themselves targets of an unknown killer."	"Ação e Aventura, Dramas"
"549"	"Small Town Crime"	"Eshom Nelms, Ian Nelms"	"John Hawkes, Anthony Anderson, Octavia Spencer, Robert Forster, Clifton Collins Jr., Jeremy Ratchford, James Lafferty, Michael Vartan, Daniel Sunjata, Don Harvey, Stefanie Scott, Caity Lotz, Dale Dickey"	"United States"	"2017"	"R"	"92 min"	"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path."	"Thrillers"
"550"	"The Last Days"	"James Moll"		"United States"	"1998"	"PG-13"	"87 min"	"This Oscar-winning documentary recounts the harrowing stories of five Hungarian Jews who endured the horrors of the Holocaust and Hitler's reign."	"Documentarios"
"551"	"Amy Tan: Unintended Memoir"	"James Redford"	"Amy Tan"	"United States"	"2021"	"TV-14"	"101 min"	"From her painful past to her successful career after ""The Joy Luck Club,"" groundbreaking writer Amy Tan shares her life story in this documentary."	"Documentarios"
"552"	"Sardar Ka Grandson"	"Kaashvie Nair"	"Arjun Kapoor, Neena Gupta, Rakul Preet Singh, Kumud Mishra, Aditi Rao Hydari, John Abraham, Kanwaljeet Singh, Soni Razdan, Masood Akhtar, Divya Seth, Ravjeet Singh, Akashdeep Sabir"	"India"	"2021"	"TV-14"	"140 min"	"A devoted grandson’s mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair."	"Comedias, Dramas, Filmes Internacionais"
"553"	"Sleight"	"J.D. Dillard"	"Jacob Latimore, Seychelle Gabriel, Sasheer Zamata, Storm Reid, Cameron Esposito, Dulé Hill, Michael Villar, Brandon Johnson, Donzaleigh Abernathy, Jay Walker"	"United States"	"2016"	"R"	"89 min"	"Struggling to raise his little sister on his own, a young street magician turns to drug dealing, unaware of how ruthless his supplier can be."	"Dramas, Filmes Independentes, Sci-Fi & Fantasia"
"554"	"Ahaan"	"Nikhil Pherwani"	"Arif Zakaria, Abuli Mamaji, Niharika Singh, Rajit Kapoor, Plabita Borthakur, Shilpa Mehta, Kaizaad Kotwal, Sonali Sachdev, Haresh Raut"	"India"	"2021"	"TV-MA"	"81 min"	"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbor, a young man with Down Syndrome."	"Dramas, Filmes Independentes, Filmes Internacionais"
"555"	"Love or Money"	"Mae Czarina Cruz"	"Angelica Panganiban, Coco Martin, Gelli de Belen, Ketchup Eusebio, Cai Cortez, Matet De Leon, Dante Rivero, Teresa Loyzaga, Norm Mcleod"		"2020"	"TV-MA"	"116 min"	"When persistent Leon sweeps her off her feet, ambitious Angel must choose between true love and her dreams of a luxurious life."	"Dramas, Filmes Internacionais, Romantic Movies"
"556"	"Cinema Bandi"	"Praveen Kandregula"	"Vikas Vasistha, Sandeep Varanasi, Rag Mayur, Trishara, Munivenkatapa, Uma Yg, Sirivennela Yanamandhala, Sindhu Sreenivasa Murthy"	"India"	"2021"	"TV-MA"	"99 min"	"A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers."	"Comedias, Filmes Independentes, Filmes Internacionais"
"557"	"Ferry"	"Cecilia Verheyden"	"Frank Lammers, Elise Schaap, Huub Stapel, Monic Hendrickx, Raymond Thiry, Maarten Heijmans, Yannick van de Velde"	"Belgium, Netherlands"	"2021"	"TV-MA"	"107 min"	"Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested — and a love that alters his life."	"Dramas, Filmes Internacionais, Thrillers"
"558"	"I Am All Girls"	"Donovan Marsh"	"Erica Wessels, Hlubi Mboya, Deon Lotz, Brendon Daniels, Mothusi Magano"	"South Africa"	"2021"	"TV-MA"	"107 min"	"A relentless detective finds common ground with a killer systematically targeting the perpetrators running a powerful child-trafficking ring."	"Dramas, Filmes Internacionais, Thrillers"
"559"	"Jungle Beat: The Movie"	"Brent Dawes"	"Ed Kear, David Menkin, Ina Marie Smith, John Guerrasio, David Rintoul, Gavin Peter, Lucy Montgomery, Florrie Wilkinson, Adam Neill, Jason Pennycooke"	"Mauritius"	"2021"	"TV-Y7"	"90 min"	"When a lost and lonely alien crash-lands on Earth, his new crew of talking animal friends helps him get back home — and try to save the world!"	"Filmes familiares e infantis, Comedias"
"560"	"Table Manners"	"Leli Maki"	"Diaan Lawrenson, Renate Stuurman, Neels Van Jaarsveld, Thabo Malema, John Lata, Fiona Ramsey, Jonathan Taylor, Julian Robinson"	"Canada, South Africa"	"2018"	"TV-MA"	"104 min"	"When a housewife's picture-perfect life comes crashing down, she finds solace and hope through cooking, family and love."	"Comedias, Dramas, Filmes Internacionais"
"561"	"The Strange House"	"Daniel Prochaska"	"León Orlandianyi, Benno Roßkopf, Julia Koschitz, Marii Weichsler, Lars Bitterlich, Michael Pink, Inge Maux, Elfriede Schüsseleder, Michael Somma, Finn Reiter, Markus Stubeier, Luca Streussnig"	"Austria"	"2020"	"TV-MA"	"100 min"	"When a big-city family moves to a remote town, two young brothers and their new friends try to solve the menacing mystery that haunts their home."	"Horror, Filmes Internacionais, Thrillers"
"562"	"The Upshaws - The Afterparty"		"David Spade, London Hughes, Fortune Feimster, Wanda Sykes, Mike Epps, Kim Fields"		"2021"	"TV-14"	"32 min"	"The comedic dream team from ""The Upshaws"" discuss the hit series, share some anecdotes from their own upbringings and play a little swag-centric game."	"Comedias"
"563"	"The Woman in the Window"	"Joe Wright"	"Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger, Wyatt Russell, Brian Tyree Henry, Jennifer Jason Leigh, Jeanine Serralles, Mariah Bozeman, Julianne Moore"	"United States"	"2021"	"R"	"102 min"	"Confined to her home by agoraphobia, a psychologist becomes obsessed with her new neighbors — and solving a brutal crime she witnesses from her window."	"Dramas, Thrillers"
"564"	"Layer Cake"	"Matthew Vaughn"	"Daniel Craig, Colm Meaney, Kenneth Cranham, Sienna Miller, Tom Hardy, Michael Gambon, George Harris, Jamie Foreman, Marcel Iures, Ben Whishaw, Tamer Hassan"	"United Kingdom"	"2004"	"R"	"105 min"	"A suave, steely-eyed London cocaine dealer's retirement plans hit a violent snag when his boss asks him to do one more job."	"Filmes Independentes, Filmes Internacionais, Thrillers"
"565"	"Tottaa Pataaka Item Maal"	"Aditya Kripalani"	"Shalini Vatsa, Chitrangada Chakraborty, Vinay Sharma, Sonal Joshi, Kritika Pande"	"India"	"2018"	"TV-MA"	"107 min"	"Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi."	"Dramas, Filmes Independentes, Filmes Internacionais"
"566"	"Wave of Cinema: Filosofi Kopi"	"Adriano Rudiman"	"Maliq & D'Essentials, Fourtwnty, Gede Robi, Nadin Amizah, Ananda Badudu, Leanna Rachel, Rio Dewanto, Chicco Jerikho"		"2020"	"TV-14"	"64 min"	"In this concert film, artists perform music from the soundtrack of ""Filosofi Kopi,"" which tells the story of coffee and the people who cherish it."	"Documentarios, Filmes Internacionais, Musicais"
"567"	"Dance of the Forty One"	"David Pablos"	"Alfonso Herrera, Emiliano Zurita, Mabel Cadena, Fernando Becerril, Paulina Álvarez Muñoz"	"Mexico, Brazil"	"2021"	"TV-MA"	"99 min"	"A gay congressman marries the Mexican president's daughter but cavorts with a young man at a secret club. And then scandal hits. Based on a true story."	"Dramas, Filmes Independentes, Filmes Internacionais"
"568"	"Oxygen"	"Alexandre Aja"	"Mélanie Laurent, Mathieu Amalric, Malik Zidi"	"France, United States"	"2021"	"TV-14"	"102 min"	"After waking up in a cryogenic unit, Liz fights to survive and remember who she is before her oxygen runs out."	"Dramas, Filmes Internacionais, Thrillers"
"569"	"Dear Affy"	"Samuel Olatunji"	"Kehinde Bankole, Enyinna Nwigwe, Williams Uchemba, Toyin Abraham, Bimbo Ademoye, Timini Egbuson, Uzor Arukwe, Bimbo Akintola, Faithia Williams, Odunlade Adekola, Teni Entertainer, Bianca Ugo"		"2020"	"TV-14"	"126 min"	"An engaged couple hit a number of speed bumps on their road to matrimony including major career complications and questions of fidelity."	"Comedias, Dramas, Filmes Internacionais"
"570"	"Illegal Woman"	"Ramon Térmens"	"Daniel Faraldo, Isak Férriz, Yolanda Sey, Raquel Camón, Adeline Flaun, Klaudia Dudová, Boris Ruiz, Àngels Bassas, Ahmad Alhamsho, Abdel Aziz El Mountassir"	"Spain"	"2020"	"TV-MA"	"119 min"	"An immigration lawyer and a Nigerian woman caught in a ring of corruption team up to uncover the truth behind a suspicious death in a detention center."	"Dramas, Filmes Internacionais"
"571"	"Deadly Switch"	"Svetlana Cvetko"	"Teri Polo, Dylan Walsh, Danika Yarosh, Hayley McLaughlin, Bryce Durfee, Matt Passmore, Heather Mazur, Ashlyn Pearce"	"United States"	"2019"	"TV-PG"	"86 min"	"In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."	"Filmes Independentes, Thrillers"
"572"	"Nayattu"	"Martin Prakkat"	"Kunchacko Boban, Joju George, Nimisha Sajayan, Jaffer Idukki, Yama Gilgamesh, Anil Nedumangad, Dineesh P, Vinod Sagar"	"India"	"2021"	"TV-MA"	"122 min"	"Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest."	"Dramas, Filmes Internacionais, Thrillers"
"573"	"Sleepless"	"Baran bo Odar"	"Jamie Foxx, Michelle Monaghan, Scoot McNairy, Dermot Mulroney, T.I., David Harbour, Gabrielle Union, Octavius J. Johnson, Tim Connolly, Drew Sheer"	"United States"	"2017"	"R"	"95 min"	"A Las Vegas cop attempts to rob a drug shipment from a casino kingpin, but the heist goes horribly wrong, leading to the kidnapping of his son."	"Ação e Aventura"
"574"	"Super Me"	"Zhang Chong"	"Darren Wang, Song Jia, Cao Bingkun, Wu Gang, Chin Shih-chieh, Wang Ziyi, Kevin Lee"	"China"	"2021"	"TV-14"	"104 min"	"A struggling screenwriter discovers his lucrative ability to bring antiques from his dreams into the real world — but his new life soon unravels."	"Ação e Aventura, Dramas, Filmes Internacionais"
"575"	"Have You Ever Seen Fireflies? - Theatre Play"	"Yılmaz Erdoğan"	"Demet Akbağ, Zerrin Sümer, Sinan Bengier, Salih Kalyon, Bican Günalan, Şebnem Sönmez, Binnur Kaya, Serhat Özcan"	"Turkey"	"1999"	"TV-MA"	"118 min"	"Yılmaz Erdoğan's lauded stage play traces the life of wunderkind Gülseren as she navigates social and political change."	"Dramas, Filmes Internacionais"
"576"	"In Our Mothers' Gardens"	"Shantrelle P. Lewis"		"United States"	"2020"	"TV-MA"	"85 min"	"An unplanned pregnancy upends the carefree lives of a young woman and her flatmate as they discover the struggles of single motherhood."	"Documentarios"
"577"	"Milestone"	"Ivan Ayr"	"Suvinder Vicky, Lakshvir Saran, Mohinder Gujral, Gurinder Makna, Daljeet Singh, Akhilesh Kumar, Gaurika Bhatt, Arun Aseng"	"India"	"2021"	"TV-14"	"98 min"	"Recently marking 500,000 kilometers on the road, a newly bereaved trucker faces the threat of losing the job that has come to define him to a new intern."	"Dramas, Filmes Independentes, Filmes Internacionais"
"578"	"Monster"	"Anthony Mandler"	"Kelvin Harrison Jr., Jennifer Hudson, Jeffrey Wright, Jennifer Ehle, Tim Blake Nelson, Nasir 'Nas' Jones, Rakim Mayers, Paul Ben-Victor, John David Washington, Jharrel Jerome, Dorian Missick"	"United States"	"2021"	"TV-MA"	"99 min"	"A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him."	"Dramas"
"579"	"The Circle - The Afterparty"		"David Spade, London Hughes, Fortune Feimster"		"2021"	"TV-14"	"35 min"	"Stars of ""The Circle"" drop by to discuss Season 2's big winner, some juicy behind-the-scenes gossip and their enduring friendships with one another."	"Comedias"
"580"	"Time to Dance"	"Stanley Menino D'Costa"	"Sooraj Pancholi, Isabelle Kaif, Rajpal Yadav, Waluscha D'Souza, Natasha Powell, Martin Rycroft, Amrit Maghera, Saqib Saleem"	"India"	"2020"	"TV-PG"	"107 min"	"When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner."	"Dramas, Filmes Internacionais, Romantic Movies"
"581"	"Unrest"	"Jennifer Brea"	"Jennifer Brea, Omar Wasow, Jessica Taylor-Bearman"	"United Kingdom, United States"	"2017"	"TV-MA"	"97 min"	"In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome."	"Documentarios"
"582"	"And Tomorrow the Entire World"	"Julia von Heinz"	"Mala Emde, Noah Saavedra, Tonio Schneider, Luisa-Céline Gaffron, Andreas Lust, Nadine Sauter, Ivy Lissack, Hussein Eliraqui, Victoria Trauttmansdorff, Michael Wittenborn"	"Germany, France"	"2020"	"TV-MA"	"112 min"	"A law student joins an anti-fascist group and finds herself sucked into increasingly dangerous situations and drawn more and more to violence."	"Dramas, Filmes Internacionais, Thrillers"
"583"	"Dead Man Down"	"Niels Arden Oplev"	"Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper, Isabelle Huppert, Luis Da Silva Jr., Armand Assante, F. Murray Abraham"	"United States"	"2013"	"R"	"118 min"	"An enforcer plotting revenge against the ruthless criminal he works for is blackmailed by a mysterious neighbor looking to exact vengeance of her own."	"Ação e Aventura"
"584"	"Framing John DeLorean"	"Don Argott, Sheena M. Joyce"	"Alec Baldwin, Josh Charles, Morena Baccarin, Dean Winters, Michael Rispoli, Dana Ashbrook, Jason Jones, Josh Cooke, Sean Cullen, William Hill"	"United States"	"2019"	"TV-MA"	"109 min"	"From his rise in the auto industry to his fall from grace, John DeLorean's legacy of power, fast cars and drugs comes to life in this documentary."	"Documentarios, Dramas"
"585"	"The Clovehitch Killer"	"Duncan Skiles"	"Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty, Brenna Sherman, Lance Chantiles-Wertz, Emma Jones, Jonathan Riggs"	"United States"	"2018"	"TV-MA"	"109 min"	"A teenager's picture-perfect family is torn apart when he uncovers unnerving evidence of a serial killer close to home."	"Dramas, Filmes Independentes, Thrillers"
"586"	"Aliens Stole My Body"	"Sean McNamara"	"Jayden Greig, Lauren McNamara, Dan Payne, Alex Zahara, Sean Quan, Kirsten Robek, Ty Consiglio, Christian Convery, Sandy Robson, Christina Meredith Lewall, George Takei"	"United States"	"2020"	"PG"	"88 min"	"The Galactic Patrol is on the hunt for Deputy Rod Allbright's body. Now they must team up with old and new friends to stop the body-snatching fiend."	"Filmes familiares e infantis, Comedias"
"587"	"Au coeur des gangs"	"Vondie Curtis-Hall"	"Tyrese Gibson, Meagan Good, Larenz Tate, Henry Hunter Hall, Kimora Lee Simmons, Game"	"United States"	"2006"	"R"	"97 min"	"In Los Angeles, recently paroled O2 teams up with a street-smart hustler when a gang hijacks his car and holds his son for ransom."	"Ação e Aventura, Dramas"
"588"	"Best of the Best"	"Robert Radler"	"Eric Roberts, James Earl Jones, Sally Kirkland, Chris Penn, Phillip Rhee, John P. Ryan, John Dye, Louise Fletcher"	"United States"	"1989"	"PG-13"	"97 min"	"Personal problems and racial tensions distract the members of a U.S. karate team handpicked to compete in an international martial arts competition."	"Ação e Aventura, Sports Movies"
"589"	"Dead Again in Tombstone"	"Roel Reiné"	"Danny Trejo, Jake Busey, Elysia Rotaru, Dean McDermott, Elizabeth Lavender, Peter Skagen"		"2017"	"R"	"99 min"	"At the devil's bidding, a deceased outlaw returns to life bent on protecting an ancient relic from a group of soldiers — and raising all kinds of hell."	"Ação e Aventura, Horror"
"590"	"Due Date"	"Todd Phillips"	"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh"	"United States"	"2010"	"R"	"95 min"	"Days before his pregnant wife's due date, Peter lands on the ""no-fly"" list, forcing him to drive across the country with an irritating slacker."	"Ação e Aventura, Comedias"
"591"	"Fun with Dick & Jane"	"Dean Parisot"	"Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins, Angie Harmon, John Michael Higgins, Richard Burgi, Carlos Jacott, Aaron Michael Drozin, Gloria Garayua"	"United States"	"2005"	"PG-13"	"91 min"	"After losing their high-paying corporate jobs, an upwardly mobile couple turns to robbing banks to maintain their standard of living."	"Comedias"
"592"	"Green Zone"	"Paul Greengrass"	"Matt Damon, Greg Kinnear, Brendan Gleeson, Amy Ryan, Khalid Abdalla, Jason Isaacs, Said Faraj, Michael O'Neill, Igal Naor, Raad Rawi"	"United Kingdom, France, Spain, United States"	"2010"	"R"	"115 min"	"A US Army officer uncovers a conspiracy about weapons of mass destruction in Iraq, launching a crusade that creates enemies within his own military."	"Ação e Aventura"
"593"	"Hachi: A Dog's Tale"	"Lasse Hallström"	"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander, Erick Avari, Davenia McFadden, Robbie Sublett, Kevin DeCoste, Rob Degnan"	"United Kingdom, United States"	"2009"	"G"	"93 min"	"When his master dies, a loyal pooch named Hachiko keeps a vigil for more than a decade at the train station where he once greeted his owner every day."	"Filmes familiares e infantis, Dramas"
"594"	"JT LeRoy"	"Justin Kelly"	"Kristen Stewart, Laura Dern, Jim Sturgess, Diane Kruger, Kelvin Harrison Jr., James Jagger, Courtney Love, David Brown"	"United Kingdom, Canada, United States"	"2018"	"R"	"109 min"	"In an elaborate hoax, a young woman pretends to be the acclaimed writer JT LeRoy, a fictional persona invented by her writer sister-in-law."	"Dramas, Filmes Independentes"
"595"	"Madagascar 3: Europe's Most Wanted"	"Eric Darnell, Tom McGrath, Conrad Vernon"	"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Frances McDormand, Jessica Chastain, Bryan Cranston, Martin Short"	"United States"	"2012"	"PG"	"96 min"	"Next stop: New York! But to get back home, Alex and friends must hitch a ride with a traveling European circus and evade an evil animal-control officer."	"Filmes familiares e infantis, Comedias"
"596"	"Motu Patlu in Dragon's World"	"Suhas Kadav"	"Saurav Chakrabarty"		"2017"	"TV-Y7"	"78 min"	"A trip to a magical land of dragons turns action-packed when Motu, Patlu and friends must help protect the kingdom from an evil neighbor."	"Filmes familiares e infantis, Comedias"
"597"	"Motu Patlu in the Game of Zones"	"Suhas Kadav"	"Saurav Chakraborty"		"2019"	"TV-Y7"	"87 min"	"A board game becomes all too real for buddies Motu and Patlu when they get transported into its world of monsters, magic and mayhem."	"Filmes familiares e infantis, Comedias, Musicais"
"598"	"Motu Patlu in Wonderland"	"Suhas Kadav"	"Saurav Chakraborty, Omi Sharma, Sankalp, Brian D Costa, Renu Sharda, Chinmey Sharma, Anamay Verma, Parminder Ghumman, Shailendra Pandey, Ravi Rajesh"		"2013"	"TV-Y7"	"76 min"	"When pals Motu and Patlu take a ride in their scientist friend’s newly built plane, a crash-landing on a strange island leads to action and adventure."	"Filmes familiares e infantis, Musicais"
"599"	"Motu Patlu: Deep Sea Adventure"	"Suhas Kadav"	"Saurav Chakraborty, Vinod Kulkarni, Mayur Vyas, Dilip Sinha, Sunita Sharma"		"2014"	"TV-Y7"	"76 min"	"Friends Motu and Patlu get more maritime excitement than anticipated when the sinking of their ship sends them on a journey through the ocean floor!"	"Filmes familiares e infantis, Comedias"
"600"	"Motu Patlu: Mission Moon"	"Suhas Kadav"	"Saurav Chakraborty, Omee, Sankalp, Rajesh, Vinod Kulkarni, Roopa Bhimani, Khushboo Atre, Shailendra Pandey, Shrikant Naidu, Khusboo, Nandkishore, Brian Dcosta"		"2013"	"TV-Y7"	"71 min"	"An otherworldly enemy has been turning the moon’s soil into gold for his own greedy interests! Can friends Motu and Patlu stop him?"	"Filmes familiares e infantis, Comedias"
"601"	"Mystic River"	"Clint Eastwood"	"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark"	"United States, Australia"	"2003"	"R"	"138 min"	"Haunted by a monstrous crime, three childhood friends in Boston cross paths again decades later in connection with a murder investigation."	"Dramas, Thrillers"
"602"	"Never Back Down"	"Jeff Wadlow"	"Sean Faris, Amber Heard, Cam Gigandet, Evan Peters, Leslie Hope, Djimon Hounsou, Wyatt Smith, Affion Crockett, Neil Brown Jr., Lauren Leech, Tilky Jones, Steven Crowley, Tom Nowicki"	"United States"	"2008"	"PG-13"	"113 min"	"When a quick-tempered teen moves to a new town and faces the challenges of attending a new high school, he seeks solace in an underground fight club."	"Ação e Aventura, Dramas, Sports Movies"
"603"	"S.M.A.R.T Chase"	"Charles Martin"	"Orlando Bloom, Leo Wu, Simon Yam, Hannah Quinlivan"	"China"	"2018"	"TV-MA"	"94 min"	"A disgraced security agent who specializes in transporting valuable objects gets a shot at redemption when he's hired to safeguard a precious antique."	"Ação e Aventura"
"604"	"Sitting in Limbo"	"Stella Corradi"	"Patrick Robinson, Nadine Marshall, Pippa Bennett-Warner, CJ Beckford"	"United Kingdom"	"2020"	"TV-MA"	"89 min"	"After living 50 years in the UK, Anthony Bryan is wrongfully detained by the government and threatened with deportation. Based on true events."	"Dramas, Filmes Internacionais"
"605"	"Stargate"	"Roland Emmerich"	"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors, Alexis Cruz, Mili Avital, Leon Rippy, John Diehl, Carlos Lauchu, Djimon Hounsou"	"United States, France"	"1994"	"PG-13"	"121 min"	"An Egyptologist joins a mission into the unknown when he helps the military unlock the mystery of a stone archway that's a portal to another universe."	"Ação e Aventura, Sci-Fi & Fantasia"
"606"	"State of Play"	"Kevin Macdonald"	"Russell Crowe, Ben Affleck, Rachel McAdams, Helen Mirren, Robin Wright, Jason Bateman, Jeff Daniels, Michael Berresse, Harry Lennix"	"United States, United Kingdom, France"	"2009"	"PG-13"	"127 min"	"A veteran journalist teams up with a young reporter to untangle a web of lies surrounding the suspicious death of a woman tied to a powerful politician."	"Dramas, Thrillers"
"607"	"Swiped"	"Ann Deborah Fishman"	"Kendall Ryan Sanders, Noah Centineo, Nathan Gamble, Kristen Johnston, Leigh-Allyn Baker, Christian Hutcherson, Shelby Wulfert, Steve Daron, Kalani Hilliker, Maddy Curley, George Hamilton"	"United States"	"2018"	"TV-14"	"94 min"	"When two college roommates develop a discreet hookup app, casual affairs – and complications – soon run rampant on campus."	"Comedias"
"608"	"The Darkest Hour"	"Chris Gorak"	"Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor, Joel Kinnaman, Veronika Vernadskaya, Dato Bakhtadze, Yuriy Kutsenko"	"United States, Russia"	"2011"	"PG-13"	"89 min"	"Young Americans visit Moscow when the city is turned upside down by an alien invasion and band together with the locals to fight back."	"Ação e Aventura, Sci-Fi & Fantasia"
"609"	"The Lovely Bones"	"Peter Jackson"	"Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci, Michael Imperioli, Saoirse Ronan, Rose McIver, Christian Thomas Ashdale, Reece Ritchie, Carolyn Dando"	"United States, United Kingdom, New Zealand"	"2009"	"PG-13"	"136 min"	"In the aftermath of her murder, 14-year-old Susie watches from beyond as her loved ones mourn and search for her killer who is hiding in plain sight."	"Dramas, Filmes Internacionais, Sci-Fi & Fantasia"
"610"	"The Sweetest Thing"	"Roger Kumble"	"Cameron Diaz, Christina Applegate, Selma Blair, Thomas Jane, Jason Bateman, Parker Posey, Frank Grillo, Eddie McClintock, Lillian Adams, Johnny Messner"	"United States"	"2002"	"R"	"89 min"	"After meeting her potential soul mate, a commitment-averse young woman hits the road with her best friend on a wild, raunchy misadventure to find him."	"Comedias, Romantic Movies"
"611"	"The Whole Nine Yards"	"Jonathan Lynn"	"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Carmen Ferland, Serge Christianssens"	"United States"	"2000"	"R"	"99 min"	"An unhappily married dentist becomes mixed up with mobsters and murder plots when he discovers that a notorious hit man has moved in next door."	"Ação e Aventura, Comedias"
